Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,Sensor22,Sensor23,Sensor24,Cycles
-0.001,0.0001,100,518.67,642.94,1585.16,1406.95,14.62,21.61,553.81,2388.04,9099.31,1.3,47.47,521.65,2388.07,8181.49,8.452,0.03,393,2388,100,38.97,23.3224,168
0.0026,0,100,518.67,642.36,1591.25,1408.48,14.62,21.61,553.56,2388.04,9098.84,1.3,47.36,521.63,2388.02,8176.17,8.448,0.03,392,2388,100,38.83,23.3286,169
-0.0006,-0.0004,100,518.67,642.7,1589.92,1407.93,14.62,21.61,553.29,2388.05,9111.31,1.3,47.55,521.71,2388.06,8178.23,8.4235,0.03,393,2388,100,38.88,23.298,170
-0.0026,-0.0003,100,518.67,642.83,1586.64,1411.19,14.62,21.61,554.19,2388.05,9101.31,1.3,47.72,521.59,2388.03,8172.32,8.4667,0.03,392,2388,100,38.84,23.2103,171
0.0007,0.0003,100,518.67,642.61,1594.51,1403.93,14.62,21.61,553.58,2388,9111.17,1.3,47.62,521.9,2388.06,8179.29,8.4279,0.03,394,2388,100,38.95,23.363,172
-0.0003,0,100,518.67,642.56,1591.49,1405.75,14.62,21.61,553.66,2388.05,9110.21,1.3,47.47,521.82,2388.04,8182.17,8.4615,0.03,393,2388,100,38.92,23.3491,173
-0.0005,0.0003,100,518.67,642.81,1589.97,1404.9,14.62,21.61,553.66,2388.04,9103.78,1.3,47.39,521.73,2388,8183.7,8.4234,0.03,392,2388,100,38.64,23.2858,174
0.0019,0,100,518.67,642.25,1595.08,1398.46,14.62,21.61,553.07,2388.03,9104.53,1.3,47.44,521.6,2387.99,8182.5,8.4691,0.03,393,2388,100,39,23.2858,175
0.0002,0.0002,100,518.67,642.73,1590.96,1410.76,14.62,21.61,553.37,2388.03,9107.99,1.3,47.68,521.23,2388.04,8186.68,8.4922,0.03,395,2388,100,38.79,23.2757,176
-0.0041,-0.0003,100,518.67,642.8,1593.26,1411.29,14.62,21.61,553.93,2388.08,9115.37,1.3,47.81,521.52,2388.02,8188.45,8.4296,0.03,393,2388,100,39.02,23.2923,177
0.0001,0.0005,100,518.67,642.32,1591.78,1408.08,14.62,21.61,553.55,2388.05,9115.8,1.3,47.62,521.93,2388.05,8184.89,8.4574,0.03,394,2388,100,38.65,23.1937,178
0.0041,0.0001,100,518.67,642.3,1588.93,1412.82,14.62,21.61,553.04,2388.03,9122.48,1.3,47.53,521.49,2388,8185.87,8.4371,0.03,393,2388,100,38.78,23.2962,179
-0.0004,0.0001,100,518.67,642.65,1593.47,1415.79,14.62,21.61,553.93,2388.04,9109.37,1.3,47.61,521.58,2388.07,8193.02,8.5022,0.03,392,2388,100,38.75,23.3786,180
-0.001,0,100,518.67,642.94,1586.09,1408.95,14.62,21.61,553.9,2388.02,9123.82,1.3,47.53,521.93,2388.03,8193.03,8.4124,0.03,393,2388,100,38.88,23.1571,181
