Sensor7,Sensor10,Sensor11,Sensor12,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor20,Sensor23,PC1
-1.338163238,0.604604351,-0.843528794,-0.744596765,-1.392926562,0.361353532,-0.9894197,-1.085085871,-1.150736782,-0.946064717,0.172399502,-2.673796289
-1.541149424,1.305758967,-1.111127107,-0.62048726,-0.68245101,0.74185967,-0.72542741,-0.614605526,-1.610097188,-0.470738668,0.792336879,-3.051438136
-1.308021606,1.157612321,-0.951053192,-0.527477696,-0.44634131,0.753642715,-0.821932145,-0.680413797,-0.941346823,-0.312775329,1.160600284,-2.668524782
-0.989627737,1.067710379,-0.969053795,-0.667769778,-0.614082473,0.480154091,-0.773606999,-0.661906695,-1.137756255,-0.75464382,1.174187447,-2.71133813
-0.949634204,1.044505523,-1.061465531,-0.761331654,-0.681593333,0.621911828,-0.825362314,-0.702308154,-1.158606106,-1.235786964,1.164551516,-2.977123731
-1.120029573,1.046798436,-1.15815583,-0.748645394,-0.773448965,0.636446597,-0.684275241,-0.756756125,-1.020226235,-1.175312086,1.034655731,-2.947933093
-0.9888044,0.961595437,-1.067606201,-0.735188851,-0.796257324,0.674481027,-0.647145243,-0.705775057,-1.13535359,-1.301952656,0.859832117,-2.874154172
-0.984905272,0.826331245,-1.000404582,-0.711237111,-0.890227638,0.725214687,-0.619589128,-0.766277328,-1.041350812,-1.086676853,0.982180848,-2.784357094
-0.732178582,0.922558763,-0.921878733,-0.730759707,-0.848252966,0.748567023,-0.624931003,-0.729940427,-0.89127563,-1.207724593,1.134588917,-2.743011381
-0.81299787,0.954733935,-0.910286832,-0.718125124,-0.968972482,0.759671333,-0.604292433,-0.701920688,-0.908299092,-1.303268089,1.003176507,-2.806985429
-0.777246422,1.061527711,-0.900942943,-0.710125627,-1.009327318,0.75706826,-0.587656294,-0.69452443,-1.007794902,-1.380282869,1.093961434,-2.923896352
-0.859311951,1.085161291,-0.938723226,-0.715840536,-1.018281839,0.768150574,-0.574017729,-0.688886725,-1.058819594,-1.443420779,1.217734021,-3.053734664
-0.818739422,1.048905151,-0.970127746,-0.751627715,-0.979435095,0.853427115,-0.627181071,-0.694086035,-1.019199023,-1.379768913,1.292218798,-3.063903365
-0.802793038,1.126225401,-0.975519448,-0.784264835,-1.008144575,0.839562043,-0.609688732,-0.704917722,-0.930686616,-1.326247362,1.309207724,-3.046848087
-0.857152745,1.105982462,-1.041156977,-0.763398464,-0.973077026,0.715315298,-0.715311926,-0.688782513,-0.910262266,-1.280807318,1.33247239,-3.043085684
-0.758914783,1.034625973,-0.899470254,-0.814527266,-0.92204566,0.758593895,-0.610518811,-0.673413278,-0.836713755,-1.452794885,1.206270548,-2.897621805
-0.731531139,1.06892767,-0.854532106,-0.833896481,-0.939543556,0.782802933,-0.672499096,-0.711169829,-0.662751682,-1.498207816,1.281911573,-2.903921416
-0.714403657,0.954985999,-0.853312436,-0.836666205,-0.869521587,0.812947662,-0.651763789,-0.698343272,-0.611046822,-1.537591005,1.240919291,-2.820899301
-0.720454473,0.912312961,-0.907769933,-0.846472543,-0.901836689,0.824873119,-0.724974954,-0.714288067,-0.730941342,-1.571924252,1.285572896,-2.931889675
-0.749483915,0.941142797,-0.882726369,-0.88946909,-0.82875286,0.874101087,-0.717335226,-0.73315984,-0.758092101,-1.505094046,1.277287061,-2.92081773
-0.796908052,0.982783487,-0.860706501,-0.853379424,-0.812016798,0.877471859,-0.604667008,-0.761361602,-0.754199672,-1.44633275,1.238900862,-2.867971979
-0.768791831,0.874953561,-0.9295222,-0.863599078,-0.844107905,0.770937775,-0.627131975,-0.772814752,-0.610963923,-1.394484488,1.189698043,-2.745487255
-0.871408824,1.015996099,-0.920721806,-0.840637571,-0.90489983,0.776329304,-0.612630929,-0.769363235,-0.64313585,-1.25572843,1.267267869,-2.831984872
-0.891371623,0.884553732,-0.86122069,-0.86955981,-0.913107481,0.791137173,-0.497772891,-0.768043921,-0.68665593,-1.132579846,1.216362391,-2.705542732
-0.908019245,0.836759615,-0.740063779,-0.892611247,-0.884184727,0.837381003,-0.462886803,-0.779976781,-0.749007828,-1.023017121,1.185889413,-2.627667021
-0.814800613,0.9102006,-0.682735999,-0.859887492,-0.876343614,0.827823881,-0.448453251,-0.787638773,-0.824872152,-1.105431027,1.019251381,-2.586795741
-0.837601797,0.942526551,-0.614764334,-0.87087177,-0.864889347,0.798163776,-0.518226438,-0.806294732,-0.703738858,-1.089746826,0.943187389,-2.522055218
-0.844709447,0.862720866,-0.58720754,-0.829184097,-0.982716067,0.774847348,-0.498613003,-0.775285489,-0.603597527,-1.075711564,0.846217998,-2.439897795
-0.893934702,0.871854674,-0.545987403,-0.8429381,-0.926008988,0.842051781,-0.481034532,-0.758394726,-0.60200925,-1.063132511,0.895671744,-2.456783664
-0.899805352,0.873258146,-0.492570929,-0.848077921,-0.883835347,0.805247985,-0.416655953,-0.733016248,-0.635227055,-1.139352654,0.989989038,-2.462511577
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
